Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,UT1,AA5,UT2,AA6,UT3,AA7,UT4,AA8
A0A0C4DG89,A0A0C4DG89,A0A0C4DG89_HUMAN,DDX46,RNA helicase,990413,1.04E+06,883353,953559,654378,897374,985549,1.12E+06
A0A0G2JJL1;A0A140T9L0,A0A140T9L0;A0A0G2JJL1,A0A0G2JJL1_HUMAN;A0A140T9L0_HUMAN,WDR46,WD repeat-containing protein 46 (Fragment),1.88E+06,1.77E+06,1.67E+06,2.35E+06,1.94E+06,2.18E+06,1.85E+06,1.92E+06
A0A0U1RQJ0,A0A0U1RQJ0,A0A0U1RQJ0_HUMAN,DDX17,Probable ATP-dependent RNA helicase DDX17 (Fragment),,828630,1.17E+06,834149,,1.20E+06,761829,497069
A0A0U1RQK7,A0A0U1RQK7,A0A0U1RQK7_HUMAN,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,1.18E+07,,1.05E+07,1.36E+07,1.30E+07,1.19E+07,1.14E+07,7.97E+06
A0A0U1RQL9;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQV1;B3KNS4,A0A0U1RQV1;A0A0U1RQN3;A0A0U1RQS5;A0A0U1RQL9;B3KNS4,A0A0U1RQL9_HUMAN;A0A0U1RQN3_HUMAN;A0A0U1RQS5_HUMAN;A0A0U1RQV1_HUMAN;B3KNS4_HUMAN,ERVK3-1,Endogenous retrovirus group K3 member 1 (Fragment),5.95E+06,4.29E+06,5.06E+06,6.21E+06,6.85E+06,4.35E+06,4.84E+06,5.95E+06
A0A0U1RRM4,A0A0U1RRM4,A0A0U1RRM4_HUMAN,PTBP1,Polypyrimidine tract-binding protein 1,,121985,99182.8,,70867.6,112863,116051,119590
A0A1B0GUI1;A0A7P0TAR5,A0A1B0GUI1;A0A7P0TAR5,A0A1B0GUI1_HUMAN;A0A7P0TAR5_HUMAN,RALGAPA1,Ral GTPase-activating protein subunit alpha-1,,209113,204948,184885,265215,218676,263604,312436
A0A1B0GVL4,A0A1B0GVL4,A0A1B0GVL4_HUMAN,FAM193A,Protein FAM193A,431988,375657,521298,399725,494015,393943,495304,394536
A0A1B0GW05,A0A1B0GW05,A0A1B0GW05_HUMAN,DPY19L1,Probable C-mannosyltransferase DPY19L1,1.15E+06,1.03E+06,1.22E+06,1.09E+06,926355,1.09E+06,712318,878116
A0A1C7CYX1,A0A1C7CYX1,A0A1C7CYX1_HUMAN,MIDEAS,Mitotic deacetylase-associated SANT domain protein,494499,,,228009,,387272,,387075
A0A1C7CYX9,A0A1C7CYX9,A0A1C7CYX9_HUMAN,DPYSL2,Dihydropyrimidinase-related protein 2,924004,1.34E+06,1.39E+06,1.40E+06,1.26E+06,1.69E+06,1.51E+06,1.26E+06
A0A1W2PQU7,A0A1W2PQU7,A0A1W2PQU7_HUMAN,GFAP,Glial fibrillary acidic protein (Fragment),347192,373740,334067,346356,382116,303284,352032,395710
A0A2R8YEA7,A0A2R8YEA7,A0A2R8YEA7_HUMAN,ACTB,"Actin, cytoplasmic 1 (Fragment)",2.11E+06,3.26E+06,,2.95E+06,2.16E+06,3.01E+06,2.12E+06,2.11E+06
A0A2R8YFE2,A0A2R8YFE2,A0A2R8YFE2_HUMAN,ACTB,"Actin, cytoplasmic 1 (Fragment)",3.98E+06,4.31E+06,3.42E+06,4.43E+06,4.31E+06,3.97E+06,3.16E+06,4.79E+06
A0A2R8YFJ4;F2Z2U4;H0Y4W2,H0Y4W2;F2Z2U4;A0A2R8YFJ4,A0A2R8YFJ4_HUMAN;F2Z2U4_HUMAN;H0Y4W2_HUMAN,TRRAP,Transformation/transcription domain-associated protein (Fragment),548388,491135,637042,1.01E+06,1.25E+06,837516,809154,857476
A0A3B3IRU2;A0A3B3ISH1,A0A3B3IRU2;A0A3B3ISH1,A0A3B3IRU2_HUMAN;A0A3B3ISH1_HUMAN,SNU13,"NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae), isoform CRA_b",,,,,,,669008,1.04E+06
A0A3B3ISF0;A0A3B3ISF8;A0A3B3IT29,A0A3B3ISF0;A0A3B3ISF8;A0A3B3IT29,A0A3B3ISF0_HUMAN;A0A3B3ISF8_HUMAN;A0A3B3IT29_HUMAN,LARP1B,La-related protein 1B,552292,909712,739574,963717,893878,953102,898618,1.18E+06
A0A3B3ISV4,A0A3B3ISV4,A0A3B3ISV4_HUMAN,VKORC1L1,Vitamin-K-epoxide reductase (warfarin-sensitive),43480.5,107816,91304.7,,,111958,109916,40449.7
A0A3B3ITJ4,A0A3B3ITJ4,A0A3B3ITJ4_HUMAN,HNRNPL,Heterogeneous nuclear ribonucleoprotein L (Fragment),6.25E+06,8.06E+06,8.08E+06,7.47E+06,6.72E+06,7.24E+06,6.79E+06,7.07E+06
A0A3F2YNW7;A0A6Q8NVI4,A0A3F2YNW7;A0A6Q8NVI4,A0A3F2YNW7_HUMAN;A0A6Q8NVI4_HUMAN,ARID1B,AT-rich interactive domain-containing protein 1B,753310,355491,,710233,,643160,485932,
A0A494C028,A0A494C028,A0A494C028_HUMAN,DEK,Protein DEK,,,,,2.36E+06,,2.14E+06,3.30E+06
A0A494C039,A0A494C039,A0A494C039_HUMAN,HYOU1,Hypoxia up-regulated protein 1,943994,634442,640071,733148,906399,559425,1.13E+06,436699
A0A494C0R8;I3L2B0,A0A494C0R8;I3L2B0,A0A494C0R8_HUMAN;I3L2B0_HUMAN,CLUH,Clustered mitochondria protein homolog,1.40E+07,1.03E+07,1.48E+07,1.06E+07,1.49E+07,9.66E+06,1.31E+07,1.01E+07
A0A494C1R9;A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534,P0CW01;Q01534;P0CW00;P0CV98;A0A494C1R9;A6NKD2;P0CV99;A0A1W2PPS3;C9JPU3,TSPY1_HUMAN;TSPY2_HUMAN;TSPY3_HUMAN;TSPY4_HUMAN;TSPY8_HUMAN;TSPY9_HUMAN;TSPYA_HUMAN,TSPY1;TSPY10;TSPY2;TSPY3;TSPY4;TSPY8;TSPY9,Testis-specific Y-encoded protein 9,,,1.22E+07,,,,,
A0A499FI48,A0A499FI48,A0A499FI48_HUMAN,PDIA4,Protein disulfide-isomerase,,,347453,306964,,234575,318660,377525
A0A499FIZ0;A0A7I2V3I7;A0A7I2YQQ9,A0A499FIZ0;A0A7I2YQQ9;A0A7I2V3I7,A0A499FIZ0_HUMAN;A0A7I2V3I7_HUMAN;A0A7I2YQQ9_HUMAN,WDR26,WD repeat-containing protein 26,594507,529805,578864,579210,345229,815098,539960,474294
A0A590UK35,A0A590UJ28;A0A590UKA6;A0A590UJ83;A0A590UJI4;A0A590UK05;A0A590UJC6;A0A590UKA3;A0A590UJA8;A0A590UJL9;A0A590UK35;A0A590UJ77;A0A590UJC1;A0A2U3TZI4;A0A590UK19;A0A590UJ69;A0A590UJW7,A0A590UK35_HUMAN,CCDC30,Coiled-coil domain-containing protein 30 (Fragment),,,346553,,,,,366191
A0A5F9ZHJ0,A0A5F9ZHJ0,A0A5F9ZHJ0_HUMAN,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial",860690,902763,629688,1.29E+06,837793,1.03E+06,611513,979859
A0A6Q8PFE4,A0A6Q8PFE4;A0A804HKV3,A0A6Q8PFE4_HUMAN,ACTB,"Actin, cytoplasmic 1",867747,,458296,1.04E+06,963178,833687,907923,1.33E+06
A0A7I2YQ88,A0A7I2YQ88,A0A7I2YQ88_HUMAN,PABPC1,Polyadenylate-binding protein,1.95E+06,1.45E+06,2.43E+06,1.22E+06,2.01E+06,1.59E+06,2.90E+06,1.46E+06
A0A7N4I394,A0A7N4I394;H7BXZ7,A0A7N4I394_HUMAN,PRPF40A,Pre-mRNA-processing factor 40 homolog A,,,,1.03E+06,,,,861279
A0A7P0T954;K4DI93,K4DI93;A0A7P0T954,A0A7P0T954_HUMAN;K4DI93_HUMAN,CUL4B,Cullin-4B,248072,386645,328629,,,383165,425204,
A0A7P0T9K5;I3L2J0,A0A7P0T9K5;I3L2J0,A0A7P0T9K5_HUMAN;I3L2J0_HUMAN,CIC,Protein capicua homolog,194923,,240994,248233,290223,,252287,390670
A0A7P0TAY0,A0A7P0TAY0,A0A7P0TAY0_HUMAN,VCP,Transitional endoplasmic reticulum ATPase (Fragment),5.14E+06,7.80E+06,6.95E+06,8.34E+06,7.29E+06,8.78E+06,7.84E+06,9.35E+06
A0A7P0Z4M5,A0A7P0Z4M5,A0A7P0Z4M5_HUMAN,CC2D1A,Coiled-coil and C2 domain-containing protein 1A (Fragment),118062,246893,136894,262954,223061,241205,266200,265231
A0A804HKE7;E7EVA0,E7EVA0;A0A804HKE7,A0A804HKE7_HUMAN;E7EVA0_HUMAN,MAP4,Microtubule-associated protein,3.84E+06,4.14E+06,4.17E+06,3.34E+06,3.50E+06,3.51E+06,3.65E+06,3.87E+06
A0AVF1;A0AVF1-2;A0AVF1-3,A0AVF1;A0AVF1-2;A0AVF1-3;B7Z2T3;B7Z6R6,IFT56_HUMAN,TTC26,Intraflagellar transport protein 56,1.43E+06,1.99E+06,2.69E+06,2.35E+06,1.78E+06,1.63E+06,,1.28E+06
A0AVK6,A0AVK6,E2F8_HUMAN,E2F8,Transcription factor E2F8,,473097,,463084,243421,439973,180218,431867
A0AVT1,A0AVT1;A0AVT1-3;A0AVT1-4,UBA6_HUMAN,UBA6,Ubiquitin-like modifier-activating enzyme 6,1.49E+07,1.70E+07,1.35E+07,1.78E+07,1.43E+07,1.81E+07,1.41E+07,1.80E+07
A0FGR8;A0FGR8-2;A0FGR8-6,A0FGR8;A0FGR8-2;A0FGR8-4;A0FGR8-5;A0FGR8-6;H7BXI1;A0A087WXU3;A0A499FIX8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,2.03E+06,1.94E+06,2.45E+06,2.17E+06,2.16E+06,2.09E+06,2.05E+06,2.00E+06
A0JLT2,A0JLT2;J3KR33,MED19_HUMAN,MED19,Mediator of RNA polymerase II transcription subunit 19,542510,756348,,,,420358,442708,
A0JNW5,A0JNW5;A0JNW5-2,UH1BL_HUMAN,UHRF1BP1L,UHRF1-binding protein 1-like,419027,407020,633060,398725,563403,450216,498743,543679
A0MZ66,A0MZ66;A0MZ66-3;A0MZ66-5;A0MZ66-6;A0MZ66-7,SHOT1_HUMAN,SHTN1,Shootin-1,3.45E+06,3.63E+06,3.56E+06,3.55E+06,3.81E+06,3.84E+06,4.08E+06,3.68E+06
A1L0T0,A1L0T0;M0R026,HACL2_HUMAN,ILVBL,2-hydroxyacyl-CoA lyase 2,7.66E+06,6.33E+06,6.72E+06,7.78E+06,7.01E+06,6.23E+06,4.92E+06,6.14E+06
A1L390,A1L390;A1L390-2;A1L390-3;G3V311;A0A8C8NWT4;A0A0U1RR71,PKHG3_HUMAN,PLEKHG3,Pleckstrin homology domain-containing family G member 3,868649,,899613,550921,684592,587246,740925,647792
A1X283,A1X283,SPD2B_HUMAN,SH3PXD2B,SH3 and PX domain-containing protein 2B,515900,,605161,848784,803036,,612036,731372
A1XBS5;A1XBS5-2,A1XBS5;A1XBS5-2;A1XBS5-3;A1XBS5-4;A1XBS5-5;F8W7P5;E5RHK0;A0A0B4J212;H0YC32;E5RGD0;A0A087WTS3,CBAR1_HUMAN,CIBAR1,CBY1-interacting BAR domain-containing protein 1,769647,,1.12E+06,,979581,307410,671832,
A2RRP1;A2RRP1-2,A2RRP1;A2RRP1-2;H0Y5G7,NBAS_HUMAN,NBAS,NBAS subunit of NRZ tethering complex,1.09E+06,1.70E+06,2.08E+06,1.61E+06,1.60E+06,1.57E+06,1.47E+06,1.62E+06
A2RTX5,A2RTX5;A2RTX5-2;B7ZLP8,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",2.19E+06,1.91E+06,1.76E+06,1.50E+06,2.00E+06,1.58E+06,1.88E+06,1.26E+06
A3KMH1;A3KMH1-2;A3KMH1-3,A3KMH1;A3KMH1-2;A3KMH1-3,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,,1.53E+06,,2.21E+06,,,,
A3KN83;A3KN83-2,A3KN83;A3KN83-2;A3KN83-3,SBNO1_HUMAN,SBNO1,Protein strawberry notch homolog 1,6.03E+06,4.98E+06,5.93E+06,3.95E+06,6.00E+06,4.71E+06,5.96E+06,4.50E+06
A4D1E9,A4D1E9;A4D1E9-2,GTPBA_HUMAN,GTPBP10,GTP-binding protein 10,3.34E+06,3.06E+06,3.03E+06,3.44E+06,3.53E+06,3.61E+06,2.38E+06,2.59E+06
A4D1P6;A4D1P6-2,A4D1P6;A4D1P6-2;A4D1P6-3;A0A804HKV2;A0A804HI90;C9J1X0;A0A804HHS8,WDR91_HUMAN,WDR91,WD repeat-containing protein 91,2.16E+06,2.55E+06,2.47E+06,2.70E+06,2.36E+06,2.54E+06,2.48E+06,2.91E+06
A5D8V6,A5D8V6;F5H4Q5,VP37C_HUMAN,VPS37C,Vacuolar protein sorting-associated protein 37C,386286,353551,369300,516002,632419,439494,386448,224962
A5YKK6,A5YKK6;A5YKK6-2;A5YKK6-3;H3BMZ2,CNOT1_HUMAN,CNOT1,CCR4-NOT transcription complex subunit 1,1.30E+07,1.28E+07,1.30E+07,1.20E+07,1.30E+07,1.23E+07,1.36E+07,1.28E+07
A6H8Y1;A6H8Y1-2;A6H8Y1-6;A6H8Y1-7,A6H8Y1;A6H8Y1-2;A6H8Y1-6;A6H8Y1-7;H7C5U4;A0A0G2JNU3,BDP1_HUMAN,BDP1,Transcription factor TFIIIB component B'' homolog,260599,,,266196,,,,
A6NCE7;Q9GZQ8,A6NCE7;Q9GZQ8;Q9H492;Q9H492-2;H3BTL1,MLP3B_HUMAN;MP3B2_HUMAN,MAP1LC3B;MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,1.45E+07,5.56E+06,1.28E+07,3.56E+06,1.56E+07,4.83E+06,9.79E+06,4.19E+06
A6NDG6,A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,2.12E+07,1.89E+07,1.92E+07,1.87E+07,1.78E+07,1.93E+07,1.75E+07,2.00E+07
A6NDU8,A6NDU8,RIMC1_HUMAN,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,6.02E+06,6.15E+06,4.67E+06,6.27E+06,6.25E+06,5.22E+06,5.70E+06,5.54E+06
A6NED2,A6NED2;G3V2I3,RCCD1_HUMAN,RCCD1,RCC1 domain-containing protein 1,,928070,,,,881068,,701467
A6NFI3,A6NFI3,ZN316_HUMAN,ZNF316,Zinc finger protein 316,225326,280061,285976,441985,326855,330450,310344,430418
A6NHL2;A6NHL2-2,A6NHL2;A6NHL2-2,TBAL3_HUMAN,TUBAL3,Tubulin alpha chain-like 3,,4.34E+06,5.24E+06,6.80E+06,6.84E+06,8.64E+06,4.52E+06,1.16E+07
A6NHQ2,A6NHQ2,FBLL1_HUMAN,FBLL1,rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1,1.04E+08,,,,,,,
A6NHR9,A6NHR9;A6NHR9-2;A6NHR9-3;J3KTL8,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,9.67E+06,1.20E+07,9.42E+06,1.20E+07,9.88E+06,1.20E+07,9.87E+06,1.19E+07
A6NI56,A6NI56;H3BS06;A0A590PWR5;B7ZBA8,CC154_HUMAN,CCDC154,Coiled-coil domain-containing protein 154,,1.03E+07,,9.70E+06,,,,
A6NIH7,A6NIH7;Q13432;Q13432-2;C9JSK0;K7EN86;K7EJU3,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,3.67E+06,5.77E+06,3.77E+06,4.89E+06,4.83E+06,4.94E+06,4.57E+06,4.78E+06
A6NJ78,A6NJ78,MET15_HUMAN,METTL15,12S rRNA N4-methylcytidine (m4C) methyltransferase,1.03E+06,1.04E+06,1.25E+06,1.28E+06,1.22E+06,1.27E+06,922628,974082
A6NKD9,A6NKD9;H0YJE0;G3V5D5;G3V2D7,CC85C_HUMAN,CCDC85C,Coiled-coil domain-containing protein 85C,1.83E+06,1.60E+06,1.91E+06,1.48E+06,2.04E+06,1.52E+06,1.91E+06,1.60E+06
A6NKF1,A6NKF1;F8WC89,SAC31_HUMAN,SAC3D1,SAC3 domain-containing protein 1,1.25E+06,1.37E+06,1.21E+06,1.35E+06,1.87E+06,1.47E+06,1.47E+06,1.20E+06
A6QL63;A6QL63-2;A6QL63-3,A6QL63;A6QL63-2;A6QL63-3;A6QL63-5;H0YHR1;C9JV03,BTBDB_HUMAN,BTBD11,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11,1.14E+06,1.01E+06,1.26E+06,846851,825493,917241,1.13E+06,803752
A6QL64;A6QL64-3,Q8N2N9;Q8N2N9-2;Q8N2N9-3;Q5JPF3;Q5JPF3-2;A6QL64;A6QL64-3;A0A087X1R3,AN36A_HUMAN,ANKRD36,Ankyrin repeat domain-containing protein 36A,,,90888.9,,,,,
A6ZKI3,A6ZKI3,RTL8C_HUMAN,RTL8C,Retrotransposon Gag-like protein 8C,,,,1.11E+06,,,,1.07E+06
A8CG34,A8CG34;A8CG34-2,P121C_HUMAN,POM121C,Nuclear envelope pore membrane protein POM 121C,3.98E+06,2.96E+06,4.22E+06,4.18E+06,4.38E+06,3.71E+06,3.81E+06,3.46E+06
A8MPP1;Q96FC9;Q96FC9-2;Q96FC9-3;Q96FC9-4,A8MPP1;Q92771;Q96FC9;Q96FC9-2;Q96FC9-3;Q96FC9-4;Q96FC9-5;F6WZM0;F5GXJ8;F5GXL6;F5H235;R4GNE1;F5GYY1;C9K0E8;B4DMS8,D11L8_HUMAN;DDX11_HUMAN,DDX11;DDX11L8,Putative ATP-dependent RNA helicase DDX11-like protein 8,1.24E+06,1.33E+06,1.55E+06,1.40E+06,1.59E+06,,1.34E+06,1.45E+06
A8MPS7,A8MPS7,YDJC_HUMAN,YDJC,Carbohydrate deacetylase,,792006,,522666,,,,1.28E+06
A8MW92,A8MW92;A0A0A0MQS0;F8W9L8,P20L1_HUMAN,PHF20L1,PHD finger protein 20-like protein 1,377993,312431,,,,316161,377885,
A8MWD9;P62308,P62308;A8MWD9;C9JVQ0;F5H013;Q49AN9,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,2.99E+07,2.53E+07,2.59E+07,4.79E+07,3.70E+07,2.45E+07,3.03E+07,4.75E+07
A8MXP9,A8MXP9,A8MXP9_HUMAN,MATR3,Matrin-3,3.30E+06,4.35E+06,4.04E+06,,3.39E+06,4.61E+06,3.70E+06,3.64E+06
A8MXV4,A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,2.01E+06,2.11E+06,2.01E+06,2.92E+06,2.28E+06,2.56E+06,2.27E+06,2.32E+06
A8MZA4;H0YM25,A8MZA4;H0YM25;A0A087X1J6,GG6L6_HUMAN;GG6LV_HUMAN,GOLGA6L22;GOLGA6L6,Golgin subfamily A member 6-like protein 6,,,,,,,,246069
A9QM74,A9QM74,IMA8_HUMAN,KPNA7,Importin subunit alpha-8,3.49E+07,,458227,344014,393369,,415124,
B3KU38;B3KU38-2;P0DPB3;P0DPB3-2,P0DPB3;P0DPB3-2;B3KU38;B3KU38-2;A0A1W2PQT1;A0A1W2PR91;C9J366,IQIP1_HUMAN;SCHI1_HUMAN,IQCJ-SCHIP1;SCHIP1,IQCJ-SCHIP1 readthrough transcript protein,357588,441035,326086,463950,457876,468679,522454,504588
B4DQA8;E9PCW1,E9PCW1;B4DQA8,B4DQA8_HUMAN;E9PCW1_HUMAN,GOSR1,28 kDa Golgi SNARE protein,581363,368017,654253,492300,518372,395334,530854,435908
B4DY08,B4DY08,B4DY08_HUMAN,HNRNPC,Heterogeneous nuclear ribonucleoproteins C1/C2,,,505288,,,571666,,
B5MCX3;B5MD47;C9IY94;C9J2Q4,C9IY94;B5MCX3;B5MD47;C9J2Q4,B5MCX3_HUMAN;B5MD47_HUMAN;C9IY94_HUMAN;C9J2Q4_HUMAN,SEPTIN2,Septin-2,,8.81E+06,,4.14E+06,,4.31E+06,,4.69E+06
B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8,B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;A0A804HKD7;F5H8L0,RBG10_HUMAN;RBG1L_HUMAN,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",,781149,655996,867285,,663125,,667680
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08,P0CG08;B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;U3KPV2;E9PKY3;A0A087WW78;A0A087WW82,GPHRA_HUMAN;GPHRB_HUMAN,GPR89A;GPR89B,Golgi pH regulator A,,,,623216,,,,
C0HLS1,C0HLS1,OSCRI_HUMAN,SCRIB,SCRIB overlapping open reading frame protein,776421,,998020,,998155,,942944,
C4AMC7;Q6VEQ5,A8K0Z3;Q6VEQ5;C4AMC7,WASH2_HUMAN;WASH3_HUMAN,WASH2P;WASH3P,Putative WAS protein family homolog 3,2.57E+06,2.39E+06,,,,,2.20E+06,1.22E+06
C9J6P4;H7C5K1,C9J6P4;H7C5K1,C9J6P4_HUMAN;H7C5K1_HUMAN,ZC3HAV1,Zinc finger CCCH-type antiviral protein 1,489405,501168,620225,568933,575219,452735,559882,430516
C9J7I0,C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,,164400,,,225920,,175187,148177
C9JLW8,C9JLW8;I3L2L5;I3L4Q0,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,6.49E+06,6.16E+06,6.59E+06,6.17E+06,6.41E+06,5.76E+06,6.96E+06,6.38E+06
C9JTX5,C9JTX5,C9JTX5_HUMAN,ACTB,"Actin, cytoplasmic 1 (Fragment)",2.35E+06,,3.57E+06,1.71E+06,3.18E+06,1.35E+06,3.74E+06,
D6RCQ4,D6RCQ4,D6RCQ4_HUMAN,IK,Protein Red (Fragment),,1.54E+06,,365554,884845,,1.35E+06,
D6RIT2,D6RIT2,D6RIT2_HUMAN,HNRNPH1,Heterogeneous nuclear ribonucleoprotein H (Fragment),4.27E+06,2.39E+06,3.46E+06,1.81E+06,3.44E+06,2.22E+06,3.51E+06,2.98E+06
E5RK69,E5RK69,E5RK69_HUMAN,ANXA6,Annexin,738662,1.09E+06,543992,641818,484049,975147,576200,647967
E9PAV3,E9PAV3;E9PAV3-2;Q13765;A0A7I2V2K5;F8W0W4;H0YHX9;A0A7I2V473;F8VZJ2;F8VNW4,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",1.14E+08,9.45E+07,1.13E+08,8.88E+07,1.35E+08,8.30E+07,1.30E+08,8.89E+07
E9PIX8,E9PIX8,E9PIX8_HUMAN,ACADM,Acyl-CoA dehydrogenase C-4 to C-12 straight chain isoform 3,1.16E+06,1.66E+06,,,,,,
E9PK54,E9PK54,E9PK54_HUMAN,HSPA8,Heat shock cognate 71 kDa protein (Fragment),1.58E+08,1.11E+08,1.27E+08,9.56E+07,1.17E+08,1.33E+08,1.47E+08,1.44E+08
